Plane,Azimuth,Dip,Dip_Direction,Normal_Stress,Shear_Stress,Rake,Rake_Dir,Movement,Vector_Valid
37,44.50765446983917,71.65863114726655,W,-0.40408230935655687,0.36071180939853265,59.101449778257184,S,I+LL,False
38,124.0420804938432,66.69461006144546,N,-0.3797810494611298,0.3012643108129442,31.73364420063717,W,I+RL,False
39,30.762867693404303,62.68695556620548,W,-0.4448610517031078,0.441956769348374,71.0740667852263,S,I+LL,False
40,264.6431400607011,75.72196520664795,S,-0.5171007411615567,0.13023161017385798,49.65225323710923,E,I+LL,False
41,157.90747170126573,74.7671981106332,E,-0.07655756086642448,0.19435612309757133,25.867629011795714,N,I+RL,False
42,149.5490435195254,26.126645577352836,E,-0.6944581319191548,0.44691663449347646,67.8909974643938,S,I+RL,False
43,216.215818149457,77.3308589447245,E,-0.1724321441425961,0.2441875231233482,9.733411021786766,N,I+LL,False
44,0.886461661760336,59.36771844689986,W,-0.4241292337567067,0.4941652795317988,89.43118296726941,S,I,False
45,327.2726116174342,87.29943072361117,W,-0.18280981804590918,0.27654841522791884,40.87770324994984,S,I+RL,False
46,320.5263130737627,51.138053529219505,W,-0.6442170270570874,0.4098073367058472,74.23821918545008,S,I+RL,False
47,74.85142882933292,65.02896948726294,N,-0.5915727660857941,0.22405126674563128,80.29968055709656,W,I+LL,False
48,337.1300257852954,67.56597888584712,W,-0.33879530148007236,0.4378946706805524,72.70928342428749,S,I+RL,False
49,1.3963031135651818,58.054365793929726,W,-0.4469474826018393,0.49706995857145303,89.134618160613,S,I,False
50,10.411784059097442,30.595759152931606,W,-0.8777642289813836,0.3243130600773495,87.18918016254995,S,I,False
